Models,BoW,TF-IDF,Word2Vec,GloVe,RoBERTa,BERTweet,USE,PreTrained
NB,0.6793645422235595,0.5350518466168724,0.34867231450952646,0.5456477248988049,0.5652537845483614,0.6115237465457438,0.594513691927485,N/A
LR,0.6989995370044536,0.7028363387715038,0.43137577915092523,0.5627138438361059,0.7445861907487955,0.7299567913002832,0.6330342283322364,N/A
KNN,0.525762769613037,0.47401229551185126,0.44459032335825244,0.5890927235045237,0.6686431643965193,0.6277898970699366,0.6278360935365225,N/A
MLP,0.6072067555955863,0.559740691372661,0.34922560752080894,0.636704662440303,0.7697051181275546,0.731373626438392,0.6836226887785579,N/A
LSTM,N/A,N/A,0.4754236092112542,0.6737326572329297,N/A,N/A,N/A,N/A
XGBoost,0.5199674242448852,0.5238203775634999,0.425086103800368,0.5593817169111314,0.7113619615954262,0.6190105128670284,0.577547125343468,N/A
Ensemble,0.7083088143407276,0.6937347560997872,0.4750631278755349,0.6326110654701719,0.781424648284284,0.7613768179385615,0.6820705443202529,N/A
RoBERTa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5774476286333409
BERTweet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5763583644351574
BERTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.34699417292844
