Models,BoW,TF-IDF,Word2Vec,GloVe,RoBERTa,BERTweet,USE,PreTrained
NB,0.6651407362166727,0.5022940795029557,0.40419908915430086,0.5599259937869465,0.5852705861201007,0.6190803959614639,0.6143929178516557,N/A
LR,0.7027866374110268,0.7073983592713234,0.4380410031366872,0.5998065960912052,0.7734961146368913,0.7615539934714692,0.673712156236428,N/A
KNN,0.4980320304017372,0.45436911871154545,0.43790810863795393,0.5843107205332368,0.6604750113245259,0.6100679413179413,0.6361358908082209,N/A
MLP,0.6176106888647604,0.568471769815418,0.37933179515019905,0.6245362830256966,0.757767282160486,0.7119598668142357,0.6674787052214236,N/A
LSTM,N/A,N/A,0.4661467758475087,0.6535638346000724,N/A,N/A,N/A,N/A
XGBoost,0.48845891392206536,0.49026665611050796,0.4230776480878273,0.5263583514296055,0.6684449382871712,0.5846325891835601,0.5444973603347391,N/A
Ensemble,0.6925066352997948,0.6889420466883821,0.4772854083725419,0.6254222463505851,0.7955036378580068,0.7362236558838501,0.6561872189299374,N/A
RoBERTa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5609234392001382
BERTweet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.577768759018759
BERTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6310608979298299
